session;group;group_affect;time;sentiment;answer_length;sum_senti;rel_senti
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;1;surprise; 30; 0;0,000000000
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;1;trust; 30; 1;0,033333333
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;2;anger; 26; 3;0,115384615
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;2;anticipation; 26; 0;0,000000000
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;2;disgust; 26; 1;0,038461538
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;2;fear; 26; 1;0,038461538
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;2;joy; 26; 0;0,000000000
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;2;negative; 26; 3;0,115384615
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;2;positive; 26; 0;0,000000000
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;2;sadness; 26; 3;0,115384615
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;2;surprise; 26; 1;0,038461538
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;2;trust; 26; 1;0,038461538
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;3;anger; 58; 3;0,051724138
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;3;anticipation; 58; 0;0,000000000
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;3;disgust; 58; 1;0,017241379
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;3;fear; 58; 1;0,017241379
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;3;joy; 58; 0;0,000000000
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;3;negative; 58; 4;0,068965517
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;3;positive; 58; 1;0,017241379
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;3;sadness; 58; 4;0,068965517
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;3;surprise; 58; 1;0,017241379
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;3;trust; 58; 1;0,017241379
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;4;anger; 33; 1;0,030303030
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;4;anticipation; 33; 0;0,000000000
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;4;disgust; 33; 0;0,000000000
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;4;fear; 33; 0;0,000000000
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;4;joy; 33; 0;0,000000000
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;4;negative; 33; 1;0,030303030
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;4;positive; 33; 1;0,030303030
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;4;sadness; 33; 2;0,060606061
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;4;surprise; 33; 0;0,000000000
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;4;trust; 33; 0;0,000000000
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;1;anger; 41; 0;0,000000000
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;1;anticipation; 41; 1;0,024390244
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;1;disgust; 41; 0;0,000000000
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;1;fear; 41; 0;0,000000000
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;1;joy; 41; 4;0,097560976
